search_city,listing_id,price,listing_rooms,listing_bedrooms,area_sqm
Lyon 1,1288945829,640 000 €,4,3,124
Lyon 1,1287333558,179 000 €,2,1,31
Lyon 1,1288943166,359 000 €,3,1,75
Lyon 1,1289820295,199 000 €,1,1,32
Lyon 1,1290193862,419 000 €,3,2,68
Lyon 1,1290183266,199 000 €,1,,39
Lyon 1,1289927196,399 000 €,3,2,61
Lyon 1,1289905443,299 000 €,3,1,84
Lyon 1,1289828218,532 000 €,4,3,90
Lyon 1,1289694276,315 000 €,2,1,49
Lyon 1,1289618483,119 000 €,1,,23
Lyon 1,1289082278,310 000 €,3,2,58
Lyon 1,1290142288,440 000 €,3,2,110
Lyon 1,1287702925,299 000 €,2,1,53
Lyon 1,1288749490,285 000 €,2,1,49
Lyon 1,1286858275,205 000 €,2,1,40
Lyon 1,1288909436,520 000 €,3,2,85
Lyon 1,1287060678,258 000 €,3,1,65
Lyon 1,1286600210,1 580 000 €,7,4,339
Lyon 1,1288749731,145 000 €,1,,24
Lyon 1,1287539609,334 000 €,3,2,82
Lyon 1,1290049790,1 295 000 €,6,5,261
Lyon 1,1287847809,309 000 €,3,2,74
Lyon 1,1288970677,139 000 €,1,,25
Lyon 1,1289231327,245 000 €,1,1,45
Lyon 1,1286851082,559 000 €,3,1,110
Lyon 1,1289998041,265 000 €,1,,47
Lyon 1,1289998001,339 000 €,3,2,74
Lyon 1,1289973067,173 500 €,1,,28
Lyon 1,1289972429,470 000 €,4,3,175
Lyon 1,1289967761,238 000 € *,2,,56
Lyon 1,1286327803,245 000 €,2,1,43
Lyon 1,1289952986,455 000 €,4,3,87
Lyon 1,1290134626,645 000 €,4,2,120
Lyon 1,1289907815,185 000 €,1,1,23
Lyon 1,1288804593,345 000 €,2,1,75
Lyon 1,1289863237,550 000 €,5,3,109
Lyon 1,1289856287,450 000 €,3,2,82
Lyon 1,1289805116,485 000 € *,4,3,94
Lyon 1,1289785518,275 000 €,2,1,55
Lyon 1,1288588238,645 000 €,3,2,120
Lyon 1,1289767302,415 000 €,3,2,62
Lyon 1,1288910521,388 000 €,4,3,87
Lyon 1,1289706206,394 000 €,2,1,69
Lyon 1,1289705615,340 000 €,3,2,73
Lyon 1,1289691431,695 000 €,5,3,120
Lyon 1,1290049785,645 000 €,3,2,120
Lyon 1,1288819740,260 000 €,3,2,47
Lyon 1,1287977959,199 000 €,2,1,46
Lyon 1,1288207222,377 000 €,2,1,60
Lyon 1,1289665397,229 000 € *,3,2,59
Lyon 1,1289599337,455 000 €,4,3,87
Lyon 1,1289577766,529 000 €,5,4,128
Lyon 1,1289577765,379 000 €,3,2,72
Lyon 1,1286947055,460 000 €,4,3,114
Lyon 1,1288010480,205 000 €,2,1,41
Lyon 1,1288937824,179 000 €,2,1,36
Lyon 1,1289524501,299 000 €,2,2,72
Lyon 1,1289524500,319 000 €,2,2,70
Lyon 1,1288978063,642 000 €,5,3,165
Lyon 1,1288794063,225 000 €,2,1,48
Lyon 1,1286614139,339 000 €,2,1,
Lyon 1,1289060061,299 000 €,3,2,
Lyon 1,1288209714,595 000 €,5,3,150
Lyon 1,1289251033,240 000 €,2,1,48
Lyon 1,1287967211,290 000 €,2,1,44
Lyon 1,1285877731,255 000 €,3,2,57
Lyon 1,1287911624,522 500 €,4,3,102
Lyon 1,1289086131,600 000 €,4,3,88
Lyon 1,1290157703,374 000 €,3,1,72
Lyon 1,1289001238,185 000 €,1,,25
Lyon 1,1287781191,449 000 €,3,2,67
Lyon 1,1285193221,199 000 €,2,1,37
Lyon 1,1286600421,258 000 €,3,2,54
Lyon 1,1288752649,149 000 €,1,1,41
Lyon 1,1285988236,350 000 €,3,2,65
Lyon 1,1286828097,419 000 €,3,1,81
Lyon 1,1287190501,283 500 €,3,2,67
Lyon 1,1262929094,478 000 €,3,2,75
Lyon 1,1286600207,599 000 €,3,2,104
Lyon 2,1290196063,415 000 €,3,2,80
Lyon 2,1290195945,269 000 €,3,2,64
Lyon 2,1289524354,850 000 €,4,3,134
Lyon 2,1290161621,1 990 000 €,7,4,280
Lyon 2,1289634696,160 000 € *,2,1,27
Lyon 2,1289160251,598 000 €,4,3,139
Lyon 2,1287847884,245 000 €,2,1,50
Lyon 2,1289965270,522 000 €,5,,110
Lyon 2,1289100027,474 000 €,3,2,77
Lyon 2,1288846366,304 000 €,3,2,65
Lyon 2,1289972826,260 000 €,2,,48
Lyon 2,1288862424,450 000 €,4,2,103
Lyon 2,1289356217,1 190 000 €,5,4,146
Lyon 2,1289525123,315 000 €,1,1,40
Lyon 2,1290141359,790 000 € *,6,4,179
Lyon 2,1288846363,360 000 €,3,2,58
Lyon 2,1288846365,218 000 €,2,,45
Lyon 2,1289967662,225 000 €,2,1,59
Lyon 2,1290161618,765 000 €,4,3,100
Lyon 2,1289905764,1 450 000 €,10,6,294
Lyon 2,1288770062,545 000 €,4,3,81
Lyon 2,1290122819,350 000 €,2,1,58
Lyon 2,1288940642,550 000 €,5,3,108
Lyon 2,1290112265,420 000 €,3,2,77
Lyon 2,1290108118,340 000 €,3,1,84
Lyon 2,1287875888,350 000 €,3,2,81
Lyon 2,1286177999,225 000 €,2,1,60
Lyon 2,1290094654,430 000 €,4,3,102
Lyon 2,1289681645,699 000 € *,5,4,108
Lyon 2,1286793638,376 000 €,3,2,60
Lyon 2,1286793633,503 000 €,4,3,76
Lyon 2,1286793620,476 000 €,4,3,76
Lyon 2,1286793626,419 000 €,3,2,64
Lyon 2,1286793623,490 000 €,4,3,76
Lyon 2,1282066453,411 000 €,3,2,64
Lyon 2,1290090735,252 000 €,2,1,37
Lyon 2,1290079272,590 000 €,4,3,141
Lyon 2,1289374181,191 000 € *,2,1,37
Lyon 2,1290068357,695 000 €,5,4,147
Lyon 2,1290062680,200 000 €,1,,34
Lyon 2,1289915985,280 000 €,2,1,52
Lyon 2,1290049202,299 000 €,1,1,52
Lyon 2,1288749814,510 000 €,5,3,89
Lyon 2,1290033202,260 000 €,2,1,49
Lyon 2,1290032958,273 000 €,2,1,45
Lyon 2,1290032957,252 000 €,1,,38
Lyon 2,1288060243,780 000 €,4,3,120
Lyon 2,1288749493,230 000 €,2,1,53
Lyon 2,1290011892,330 000 €,2,1,62
Lyon 2,1288794234,248 000 €,2,1,33
Lyon 2,1286605247,365 000 €,2,1,51
Lyon 2,1289143466,355 000 €,2,1,61
Lyon 2,1288087329,490 000 €,3,2,66
Lyon 2,1289607987,182 500 €,1,,23
Lyon 2,1289779882,474 000 €,3,2,72
Lyon 2,1289999715,569 000 €,4,3,89
Lyon 2,1288313648,185 000 €,2,1,34
Lyon 2,1287714621,277 000 €,2,1,42
Lyon 2,1287714623,467 000 €,4,3,76
Lyon 2,1287714622,375 000 €,3,2,64
Lyon 2,1288477030,475 000 €,3,2,70
Lyon 2,1289974717,765 000 €,5,4,114
Lyon 2,1289974712,450 000 €,4,3,78
Lyon 2,1289974713,610 000 €,4,3,94
Lyon 2,1289974705,370 000 €,3,2,60
Lyon 2,1289974706,395 000 €,3,2,64
Lyon 2,1289974700,298 000 €,2,1,43
Lyon 2,1289974701,311 000 €,2,1,45
Lyon 2,1289974702,277 000 €,2,1,42
Lyon 2,1290063111,341 000 €,2,1,50
Lyon 2,1290147172,441 000 €,3,2,65
Lyon 2,1290147158,565 000 €,4,3,90
Lyon 2,1289967614,289 810 €,3,2,67
Lyon 2,1289966556,649 000 €,4,3,93
Lyon 2,1289961721,1 350 000 €,7,5,219
Lyon 2,1287790137,435 000 €,2,1,85
Lyon 2,1287764220,539 000 €,3,2,100
Lyon 2,1289952995,275 000 €,2,1,38
Lyon 2,1288261017,299 000 €,4,3,81
Lyon 2,1289538097,1 195 000 €,6,4,172
Lyon 2,1289908417,649 000 €,4,3,93
Lyon 2,1289907097,475 000 €,3,,70
Lyon 2,1289907050,649 000 €,4,,93
Lyon 2,1289897160,384 000 €,3,2,60
Lyon 2,1289897156,472 000 €,4,3,76
Lyon 2,1289897157,489 000 €,4,3,76
Lyon 2,1290161616,499 000 €,4,3,107
Lyon 2,1288477031,649 000 €,4,3,93
Lyon 2,1288547215,735 000 €,6,5,0
Lyon 2,1288942767,269 000 €,2,1,32
Lyon 2,1289814713,895 000 €,7,5,219
Lyon 2,1289801995,285 000 €,2,1,42
Lyon 2,1289767539,399 000 €,4,3,100
Lyon 2,1289767277,640 000 €,4,3,118
Lyon 2,1290063057,450 000 €,4,3,85
Lyon 2,1290066128,995 000 €,6,5,215
Lyon 2,1289966552,475 000 €,3,2,70
Lyon 2,1290063134,370 000 €,3,2,61
Lyon 2,1290063116,765 000 €,5,4,115
Lyon 2,1290063115,610 000 €,4,3,95
Lyon 2,1290063114,450 000 €,4,3,80
Lyon 2,1290147159,897 000 €,5,4,130
Lyon 2,1290147170,367 000 €,3,2,60
Lyon 2,1289974710,569 000 €,4,3,86
Lyon 2,1289974711,609 000 €,4,3,90
Lyon 2,1289483087,740 000 €,5,3,169
Lyon 2,1289974704,445 000 €,3,2,64
Lyon 2,1289974703,519 000 €,3,2,77
Lyon 2,1289671012,899 000 €,5,3,151
Lyon 2,1289966550,345 000 €,2,1,48
Lyon 2,1289659448,190 000 € *,1,1,35
Lyon 2,1289974719,615 000 €,5,4,105
Lyon 2,1289974716,503 000 €,4,3,76
Lyon 2,1289974718,916 000 €,5,4,123
Lyon 2,1289974708,388 000 €,3,2,59
Lyon 2,1289974715,531 000 €,4,3,86
Lyon 2,1289974714,472 000 €,4,3,76
Lyon 2,1289974707,376 000 €,3,2,59
Lyon 2,1289617823,595 000 €,4,2,110
Lyon 2,1290049787,749 000 €,4,3,138
Lyon 2,1289598789,345 000 €,3,2,69
Lyon 2,1289595370,522 500 €,3,2,88
Lyon 2,1288393172,349 000 €,3,2,73
Lyon 2,1287464786,420 000 €,2,1,64
Lyon 2,1287464785,325 000 €,2,1,50
Lyon 2,1289575321,1 090 000 €,5,4,150
Lyon 2,1287856441,790 000 €,4,3,155
Lyon 2,1289483447,530 000 €,3,2,76
Lyon 2,1289476714,530 000 €,3,2,76
Lyon 2,1289446402,370 000 €,2,1,65
Lyon 2,1289445424,700 000 €,4,2,147
Lyon 2,1286114972,89 000 €,1,,20
Lyon 2,1289415096,695 000 €,5,4,151
Lyon 2,1286323655,225 000 €,2,1,60
Lyon 2,1289250546,365 000 €,3,2,64
Lyon 2,1289220995,595 000 €,6,4,124
Lyon 2,1290147105,505 500 €,3,2,70
Lyon 2,1287967003,395 000 €,2,1,51
Lyon 2,1287967002,315 000 €,2,1,37
Lyon 2,1286600696,995 000 €,4,3,159
Lyon 2,1289135445,315 000 €,3,1,58
Lyon 2,1287730198,275 000 €,2,1,42
Lyon 2,1289365972,369 000 €,3,2,70
Lyon 2,1289083395,680 000 €,3,2,90
Lyon 2,1289974709,404 000 €,3,2,63
Lyon 2,1287820053,275 000 €,1,1,34
Lyon 2,1287794565,260 000 €,1,,29
Lyon 2,1288584849,335 000 € *,3,2,66
Lyon 2,1290151846,630 000 €,3,2,109
Lyon 2,1286658834,115 000 €,1,1,14
Lyon 2,1290147163,455 000 €,4,3,80
Lyon 2,1289564737,579 000 €,4,3,89
Lyon 2,1288042478,495 000 €,3,2,92
Lyon 2,1282037492,527 000 €,4,3,86
Lyon 2,1290186544,538 000 €,4,3,82
Lyon 2,1287848674,380 000 €,3,2,68
Lyon 2,1288661585,735 000 €,6,5,182
Lyon 3,1290205677,380 000 €,3,2,70
Lyon 3,1287031838,170 000 €,2,1,33
Lyon 3,1290202755,362 000 €,3,2,71
Lyon 3,1290060971,270 000 € *,3,2,61
Lyon 3,1290201417,125 000 €,1,1,19
Lyon 3,1290198143,159 000 €,2,1,28
Lyon 3,1288925872,320 000 €,4,3,84
Lyon 3,1290066229,270 000 €,3,2,75
Lyon 3,1289384212,580 000 €,5,4,114
Lyon 3,1289706604,392 000 €,3,2,72
Lyon 3,1289107031,373 000 €,3,2,73
Lyon 3,1290159465,350 000 €,4,3,87
Lyon 3,1290157495,400 000 €,4,3,104
Lyon 3,1290157351,72 000 €,1,,20
Lyon 3,1290152176,320 000 € *,3,2,72
Lyon 3,1289479613,389 000 € *,4,3,89
Lyon 3,1290149325,634 000 €,5,4,125
Lyon 3,1286857791,816 000 €,5,3,96
Lyon 3,1288692548,240 000 €,3,2,56
Lyon 3,1286605261,325 000 €,3,2,76
Lyon 3,1289392894,495 000 €,5,4,156
Lyon 3,1288013002,332 000 €,2,1,61
Lyon 3,1288749513,340 000 €,3,2,82
Lyon 3,1287214214,445 000 €,4,3,107
Lyon 3,1288960554,1 013 000 €,4,3,91
Lyon 3,1288960556,779 000 €,4,3,93
Lyon 3,1288960558,997 000 €,5,4,123
Lyon 3,1288960555,1 030 000 €,4,3,100
Lyon 3,1288960557,1 306 000 €,5,4,116
Lyon 3,1288949074,229 000 €,4,2,68
Lyon 3,1290040989,385 000 €,3,2,80
Lyon 3,1290127398,425 000 €,4,3,105
Lyon 3,1288749819,745 000 €,5,3,219
Lyon 3,1286268103,349 000 €,3,2,74
Lyon 3,1290089166,365 000 €,4,3,87
Lyon 3,1290018227,580 000 €,4,3,111
Lyon 3,1289984407,350 000 € *,3,2,73
Lyon 3,1290114799,199 000 €,1,,26
Lyon 3,1289211083,360 000 €,3,2,82
Lyon 3,1290112387,430 000 €,4,2,96
Lyon 3,1290112269,360 000 €,5,4,100
Lyon 3,1289965283,165 000 € *,1,,27
Lyon 3,1288214272,450 000 €,5,4,106
Lyon 3,1289673760,370 000 €,3,2,78
Lyon 3,1289035125,400 000 €,4,3,95
Lyon 3,1290134618,210 000 €,1,1,22
Lyon 3,1290134619,219 000 €,1,1,29
Lyon 3,1290134620,229 000 €,1,1,34
Lyon 3,1288906301,450 000 €,6,4,119
Lyon 3,1290090177,445 000 €,4,3,113
Lyon 3,1290088706,565 000 €,4,3,112
Lyon 3,1289746007,190 000 €,2,1,51
Lyon 3,1290080931,545 000 €,5,3,105
Lyon 3,1290078404,376 550 €,4,3,88
Lyon 3,1289233691,45 000 €,1,,18
Lyon 3,1290063899,545 000 €,5,3,105
Lyon 3,1289489884,1 750 000 €,4,3,196
Lyon 3,1289424499,350 000 €,3,2,74
Lyon 3,1289046378,170 000 €,2,,35
Lyon 3,1290041114,349 000 €,4,3,88
Lyon 3,1288461030,328 000 €,3,2,69
Lyon 3,1289596019,280 000 €,3,2,63
Lyon 3,1290032160,319 000 €,3,2,71
Lyon 3,1288133984,300 000 €,5,3,96
Lyon 3,1290020038,429 000 €,4,3,113
Lyon 3,1288935064,245 000 €,2,1,42
Lyon 3,1290063050,285 000 €,2,1,45
Lyon 3,1290063051,364 000 €,3,2,70
Lyon 3,1289258245,580 000 €,4,2,113
Lyon 3,1285968187,195 000 €,2,1,61
Lyon 3,1289652646,197 000 €,1,,45
Lyon 3,1286617973,198 000 €,2,1,55
Lyon 3,1288749512,219 000 €,3,2,64
Lyon 3,1288749531,470 000 €,4,3,98
Lyon 3,1290040155,319 000 €,3,2,64
Lyon 3,1288998804,160 000 €,2,1,60
Lyon 3,1289995223,249 000 €,2,1,51
Lyon 3,1284439126,260 000 €,4,3,62
Lyon 3,1289989287,270 000 €,3,2,68
Lyon 3,1288694617,430 000 €,4,3,88
Lyon 3,1289083321,540 000 €,3,2,72
Lyon 3,1289083322,769 500 €,4,3,94
Lyon 3,1288616401,994 000 €,5,4,145
Lyon 3,1289454057,964 000 €,5,4,123
Lyon 3,1289454055,746 000 €,4,3,94
Lyon 3,1289454058,1 240 000 €,5,4,116
Lyon 3,1289793819,399 000 €,3,2,74
Lyon 3,1289801684,320 000 € *,3,2,62
Lyon 3,1289983005,480 000 €,3,1,60
Lyon 3,1289555944,455 000 €,4,3,86
Lyon 3,1289975015,225 000 €,2,1,40
Lyon 3,1290009534,524 000 €,4,3,90
Lyon 3,1290009537,519 000 €,4,3,90
Lyon 3,1289952802,420 000 €,3,2,76
Lyon 3,1286298200,350 000 €,4,3,84
Lyon 3,1288745273,175 000 €,2,1,42
Lyon 3,1289908786,295 000 €,4,3,77
Lyon 3,1289186251,249 000 €,2,1,53
Lyon 3,1289177326,149 000 €,1,1,33
Lyon 3,1289907826,515 000 €,4,3,90
Lyon 3,1289898936,825 000 €,5,4,154
Lyon 3,1289897664,184 000 €,2,1,41
Lyon 3,1289896423,994 000 €,5,4,145
Lyon 3,1289896004,350 000 €,3,2,64
Lyon 3,1290009535,465 000 €,4,3,95
Lyon 3,1288516985,199 000 €,1,,37
Lyon 3,1288954442,149 000 €,1,1,26
Lyon 3,1289672575,157 000 €,1,,25
Lyon 3,1288528230,220 000 €,2,1,1
Lyon 3,1288528242,340 000 €,3,2,82
Lyon 3,1288248434,265 000 €,2,1,51
Lyon 3,1288653194,725 000 €,5,4,156
Lyon 3,1288653208,525 000 €,4,3,94
Lyon 3,1282565966,1 216 000 €,5,4,123
Lyon 3,1282565965,1 256 000 €,5,4,111
Lyon 3,1282565964,1 306 000 €,5,4,116
Lyon 3,1282565963,823 000 €,4,3,93
Lyon 3,1282565962,1 133 000 €,4,3,101
Lyon 3,1282565961,1 013 000 €,4,3,91
Lyon 3,1282565960,803 000 €,4,3,83
Lyon 3,1282565958,488 000 €,3,2,68
Lyon 3,1282565959,923 000 €,4,3,99
Lyon 3,1286309154,362 000 €,4,3,93
Lyon 3,1289829026,240 000 €,3,2,50
Lyon 3,1289829024,185 000 €,2,1,35
Lyon 3,1289828468,450 000 €,5,4,107
Lyon 3,1289822493,239 000 €,2,1,56
Lyon 3,1288627167,241 000 €,2,1,43
Lyon 3,1289806390,300 000 €,2,1,47
Lyon 3,1289801990,200 000 €,2,1,47
Lyon 3,1289798690,315 000 €,3,2,76
Lyon 3,1288604493,134 900 €,1,1,27
Lyon 3,1289775206,240 000 €,2,1,60
Lyon 3,1286604792,110 000 €,2,1,26
Lyon 3,1289766783,535 000 €,5,3,125
Lyon 3,1290100042,519 000 €,4,3,101
Lyon 3,1289765567,280 000 €,2,1,46
Lyon 3,1287392745,307 000 €,3,2,64
Lyon 3,1287364095,499 000 €,4,3,95
Lyon 3,1289715165,185 000 €,2,1,42
Lyon 3,1289705614,250 000 €,3,1,52
Lyon 3,1287153883,310 000 €,5,,83
Lyon 3,1288616402,431 000 €,3,2,70
Lyon 3,1289045497,690 000 €,5,4,144
Lyon 3,1283912117,950 000 €,7,5,206
Lyon 3,1289696280,379 000 €,4,3,105
Lyon 3,1290147114,625 000 €,3,2,70
Lyon 3,1290063077,994 000 €,5,4,150
Lyon 3,1289429782,436 800 €,4,3,89
Lyon 3,1282482768,498 000 €,3,2,68
Lyon 3,1282482767,493 000 €,3,2,68
Lyon 3,1282449917,603 000 €,3,2,73
Lyon 3,1282449916,488 000 €,3,2,68
Lyon 3,1289686161,235 000 €,2,1,45
Lyon 3,1288696829,349 000 €,3,2,74
Lyon 3,1289671587,327 000 €,3,2,67
Lyon 3,1289896005,450 000 €,4,3,86
Lyon 3,1290056235,460 000 €,4,3,84
Lyon 3,1289655089,695 000 €,5,4,152
Lyon 3,1288459918,263 500 €,3,2,67
Lyon 3,1289653088,109 000 €,1,,19
Lyon 3,1289652726,129 000 €,1,1,26
Lyon 3,1289593728,480 000 € *,4,3,105
Lyon 3,1288746025,150 000 €,2,1,42
Lyon 3,1284054192,150 000 €,1,,16
Lyon 3,1283617278,78 000 €,1,,18
Lyon 3,1287793974,189 000 €,3,2,52
Lyon 3,1289617843,255 000 €,3,2,68
Lyon 3,1290151699,208 000 €,2,2,39
Lyon 3,1288528387,240 000 €,4,3,68
Lyon 3,1289598979,377 000 €,3,2,79
Lyon 3,1289598237,910 000 €,6,5,153
Lyon 3,1289598120,210 000 €,2,1,35
Lyon 3,1289596962,161 500 €,1,,22
Lyon 3,1289596271,79 000 €,1,1,18
Lyon 3,1289895892,997 000 €,5,4,123
Lyon 3,1289895887,1 030 000 €,4,3,100
Lyon 3,1289895891,1 306 000 €,5,4,116
Lyon 3,1289895886,885 000 €,4,3,99
Lyon 3,1289895884,1 013 000 €,4,3,91
Lyon 3,1289895885,779 000 €,4,3,93
Lyon 3,1289895884,1 013 000 €,4,3,91
Lyon 3,1282308109,449 000 €,3,2,71
Lyon 3,1282308117,925 000 €,5,4,122
Lyon 3,1282308108,459 000 €,3,2,71
Lyon 3,1282308115,820 000 €,4,3,103
Lyon 3,1289950322,399 000 €,3,2,93
Lyon 3,1288335744,370 000 €,4,2,70
Lyon 3,1289547001,360 000 €,4,3,87
Lyon 3,1289494461,440 000 €,3,2,72
Lyon 3,1289494459,375 000 €,3,2,64
Lyon 3,1289491390,320 000 € *,3,2,70
Lyon 3,1289538306,319 000 €,3,2,72
Lyon 3,1285852536,110 000 €,2,1,34
Lyon 3,1289483081,700 000 €,6,4,157
Lyon 3,1288259468,728 000 €,6,4,153
Lyon 3,1289454060,625 000 €,3,2,70
Lyon 3,1288234802,1 111 000 €,4,3,101
Lyon 3,1288234803,807 200 €,4,3,93
Lyon 3,1288234801,1 013 000 €,4,3,91
Lyon 3,1288234800,573 000 €,3,2,73
Lyon 3,1288234806,1 119 500 €,5,4,123
Lyon 3,1288234799,459 000 €,3,2,68
Lyon 3,1288234805,1 306 000 €,5,4,116
Lyon 3,1288234798,658 000 €,3,2,70
Lyon 3,1288234804,905 200 €,4,3,99
Lyon 3,1289440897,89 000 €,1,,19
Lyon 3,1289432706,208 000 €,2,1,48
Lyon 3,1288207350,115 000 €,1,,26
Lyon 3,1288041945,122 000 €,1,,18
Lyon 3,1289395020,580 000 €,5,4,135
Lyon 3,1289908915,520 000 €,3,2,62
Lyon 3,1289393234,225 000 €,2,1,50
Lyon 3,1289385884,196 000 €,2,1,39
Lyon 3,1289384046,541 000 €,4,3,92
Lyon 3,1290147152,430 000 €,3,2,70
Lyon 3,1290147080,820 000 €,4,3,120
Lyon 3,1289329220,596 000 €,4,3,111
Lyon 3,1289294333,175 000 €,2,1,32
Lyon 3,1289265289,375 000 €,4,3,95
Lyon 3,1288822338,235 000 €,3,2,74
Lyon 3,1284112610,994 000 €,5,4,146
Lyon 3,1290147079,493 000 €,4,3,90
Lyon 3,1289195714,315 000 €,3,2,65
Lyon 3,1287396012,360 000 €,3,2,88
Lyon 3,1289133747,250 000 €,2,1,52
Lyon 3,1290147115,1 240 000 €,5,4,120
Lyon 3,1287859178,128 000 €,1,1,31
Lyon 3,1290147143,800 000 €,4,3,100
Lyon 3,1287692336,169 000 €,2,1,40
Lyon 3,1290147081,230 000 €,1,1,35
Lyon 3,1289034679,111 000 €,1,,18
Lyon 3,1290009543,432 500 €,4,3,84
Lyon 3,1289024635,240 000 € *,3,2,56
Lyon 3,1286035754,410 000 €,4,3,107
Lyon 3,1289001141,658 000 €,3,2,70
Lyon 3,1289001143,885 000 €,4,3,99
Lyon 3,1289001142,459 000 €,3,2,67
Lyon 3,1288594657,555 € *,2,1,27
Lyon 3,1287086431,230 000 €,3,2,74
Lyon 3,1288442734,140 000 € *,1,,32
Lyon 3,1288134211,250 000 € *,3,2,68
Lyon 3,1287163822,394 000 €,4,3,93
Lyon 3,1284724953,330 000 €,4,3,120
Lyon 3,1282312459,317 000 €,3,2,73.16
Lyon 3,1286262424,295 000 €,3,2,62
